user_input_text,category,sub_category,priority,auto_resolve,assigned_team
help application requiring older framework version update,Software,Compatibility,Low,TRUE,Application Support
team getting printer found error trying to print help assist.,Hardware,Printer Error,High,TRUE,Hardware Support
need role-based access updated systems today,Access,Role Change,Low,FALSE,IAM Team
software install stuck 99 complete since last week fix this.,Software,Software Install,Medium,FALSE,Application Support
power adapter connected battery charging urgent.,Hardware,Battery Issue,Low,FALSE,Hardware Support
getting connection blocked firewall error message help urgent.,Network,Firewall Block,Critical,FALSE,Network Support
cumulative update failing to install windows afternoon need help quickly.,Software,Update Problem,Medium,FALSE,Application Support
msi installer failing unknown error code affecting work urgent.,Software,Software Install,Medium,TRUE,Application Support
corporate proxy blocking legitimate business websites try to work,Network,Proxy Error,Low,TRUE,Network Support
license expiration affecting account access affecting work,Access,Account Expired,High,FALSE,IAM Team
help setup wizard closes unexpectedly installation since morning fix this.,Software,Software Install,Medium,TRUE,Application Support
software installation failing insufficient privileges error need assistance thanks.,Software,Software Install,Medium,FALSE,Application Support
help need permission to access confidential documents today fix this.,Access,Access Request,Low,TRUE,IAM Team
browser tabs crashing memory error affecting work,Software,Application Crash,High,FALSE,Application Support
multi-factor authentication keeps failing repeatedly today urgent.,Access,MFA Problem,Medium,FALSE,IAM Team
team default settings causing issues need custom configuration reboot urgent.,Software,Configuration,Low,FALSE,Application Support
laptop booting stuck black screen since yesterday thanks.,Hardware,Laptop Issue,High,FALSE,Hardware Support
job function change requiring new permissions shift,Access,Role Change,Low,FALSE,IAM Team
legacy application running updated os need assistance,Software,Compatibility,High,FALSE,Application Support
high disk usage application affecting system help,Software,Performance,Medium,TRUE,Application Support
support team wireless connection dropping randomly throughout day since morning fix this.,Network,WiFi Issue,Medium,TRUE,Network Support
application running slow taking long time to respond afternoon fix this.,Software,Performance,Low,FALSE,Application Support
laptop getting extremely hot normal usage since yesterday asap.,Hardware,Overheating,Low,TRUE,Hardware Support
single sign-on redirect loop preventing access today need help quickly.,Access,Login Failure,High,TRUE,IAM Team
ntfs permissions preventing file access afternoon urgent.,Access,Permission Issue,High,FALSE,IAM Team
motherboard issue causing random system restarts since yesterday fix this.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
registry settings need to modified app help urgent.,Software,Configuration,Low,TRUE,Application Support
help mouse cursor jumping around randomly screen need help quickly.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
cannot access account showing authentication failure try to work fix this.,Access,Account Unlock,Medium,TRUE,IAM Team
word document causing application to freeze shift need help quickly.,Software,Application Crash,High,FALSE,Application Support
support team cpu temperature reaching dangerous levels according to monitoring try to work assist.,Hardware,Overheating,Critical,FALSE,Hardware Support
support team laptop booting stuck black screen update thanks.,Hardware,Laptop Issue,Critical,FALSE,Hardware Support
help document showing corrupted cannot recovered urgently needed,Software,Data Loss,Critical,FALSE,Application Support
thermal throttling reducing computer performance since last week urgent.,Hardware,Overheating,Low,TRUE,Hardware Support
application installation blocked windows defender firewall affecting work fix this.,Network,Firewall Block,High,TRUE,Network Support
getting account expired message trying to login today assist.,Access,Account Expired,High,FALSE,IAM Team
laptop keeps freezing randomly normal work fix this.,Hardware,Laptop Issue,Low,FALSE,Hardware Support
permission denied trying to save file to location help,Access,Permission Issue,High,TRUE,IAM Team
irql_not_less_or_equal blue screen error help need help quickly.,Hardware,Blue Screen,High,TRUE,Hardware Support
external display showing wrong aspect ratio help fix this.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
getting license activation failed error code 0xc004c003 since morning urgent.,Software,License Issue,High,FALSE,Application Support
issue internal dns records updating properly reboot,Network,DNS Problem,Low,FALSE,Network Support
application incompatible installed programs since morning,Software,Compatibility,Low,FALSE,Application Support
help powerpoint closing unexpectedly presentation affecting work assist.,Software,Application Crash,High,FALSE,Application Support
data corruption project files cannot open urgently needed urgent.,Software,Data Loss,Critical,FALSE,Application Support
laptop suddenly shut turn back,Hardware,Laptop Issue,Medium,FALSE,Hardware Support
database showing corruption errors startup need assistance asap.,Software,Data Loss,Critical,FALSE,Application Support
support team domain name resolution failing intermittently shift assist.,Network,DNS Problem,Medium,TRUE,Network Support
team application running slow taking long time to respond help asap.,Software,Performance,Medium,FALSE,Application Support
default settings causing issues need custom configuration help assist.,Software,Configuration,Low,TRUE,Application Support
share permissions allowing write access update need help quickly.,Access,Permission Issue,High,FALSE,IAM Team
help unsaved work lost due to unexpected application crash shift,Software,Data Loss,Critical,FALSE,Application Support
graphics rendering causing application slowdown reboot,Software,Performance,Critical,FALSE,Application Support
blue screen appearing randomly different error codes urgently needed,Hardware,Blue Screen,High,TRUE,Hardware Support
help getting nxdomain error valid websites since morning fix this.,Network,DNS Problem,Low,TRUE,Network Support
support team laptop wifi extremely slow compared to colleagues shift need help quickly.,Network,WiFi Issue,Medium,TRUE,Network Support
corporate firewall preventing software update download since last week thanks.,Network,Firewall Block,Critical,FALSE,Network Support
help high disk usage application affecting system urgently needed urgent.,Software,Performance,High,FALSE,Application Support
heat sink seems clogged dust today asap.,Hardware,Overheating,Low,TRUE,Hardware Support
graphics card failure causing display artifacts since yesterday need help quickly.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
support team cumulative update failing to install windows reboot asap.,Software,Update Problem,Medium,FALSE,Application Support
usb keyboard recognized computer shift,Hardware,Keyboard/Mouse,Low,FALSE,Hardware Support
cannot access shared network drive getting access denied urgently needed,Network,Network Drive,Low,TRUE,Network Support
getting error network path found trying to open shared folder since yesterday asap.,Network,Network Drive,Low,FALSE,Network Support
help application incompatible installed programs affecting work thanks.,Software,Compatibility,High,FALSE,Application Support
user account disabled due to inactivity period,Access,Account Expired,Medium,FALSE,IAM Team
program designed version windows need assistance fix this.,Software,Compatibility,Critical,FALSE,Application Support
team network storage accessible from workstation urgently needed asap.,Network,Network Drive,Low,FALSE,Network Support
team security patch installation getting stuck update,Software,Update Problem,Medium,FALSE,Application Support
bsod memory management error keeps occurring shift urgent.,Hardware,Blue Screen,High,TRUE,Hardware Support
issue wireless connection dropping randomly throughout day since yesterday need help quickly.,Network,WiFi Issue,Medium,TRUE,Network Support
got blue screen death error code critical_process_died since morning need help quickly.,Hardware,Blue Screen,High,TRUE,Hardware Support
previous role access needs to revoked need assistance thanks.,Access,Role Change,Low,TRUE,IAM Team
help photoshop crashing error applying filters today fix this.,Software,Application Crash,High,FALSE,Application Support
support team laptop overheating automatically shutting update need help quickly.,Hardware,Overheating,Medium,TRUE,Hardware Support
login korte parchina,Access,MFA Problem,Medium,TRUE,IAM Team
issue data synchronization causing file conflicts since last week asap.,Software,Data Loss,Critical,FALSE,Application Support
printer showing paper jam error paper visible try to work urgent.,Hardware,Printer Error,High,TRUE,Hardware Support
issue cannot access shared network drive getting access denied affecting work urgent.,Network,Network Drive,Low,FALSE,Network Support
team ntfs permissions preventing file access update thanks.,Access,Permission Issue,High,FALSE,IAM Team
getting connection blocked firewall error message since morning thanks.,Network,Firewall Block,Medium,FALSE,Network Support
credential manager saving login information affecting work,Access,Login Failure,High,FALSE,IAM Team
software deployment package corrupted download since yesterday,Software,Software Install,Medium,FALSE,Application Support
team word document causing application to freeze afternoon assist.,Software,Application Crash,High,TRUE,Application Support
getting account disabled error trying to login shift need help quickly.,Access,Account Unlock,Medium,TRUE,IAM Team
help cannot access external websites due to proxy configuration issue help urgent.,Network,Proxy Error,Low,TRUE,Network Support
team application installation blocked windows defender firewall since morning,Network,Firewall Block,Critical,FALSE,Network Support
corporate firewall preventing software update download afternoon assist.,Network,Firewall Block,High,FALSE,Network Support
issue multi-factor authentication keeps failing repeatedly shift urgent.,Access,MFA Problem,Medium,TRUE,IAM Team
help trackpad gestures working laptop help,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
support team feature update breaking existing applications since morning,Software,Update Problem,Medium,FALSE,Application Support
password expired cannot set new one affecting work thanks.,Access,Account Expired,High,TRUE,IAM Team
mobile computer battery holding charge need help quickly.,Hardware,Laptop Issue,Critical,FALSE,Hardware Support
issue vpn client shows authentication failed error try to login update asap.,Network,VPN Connection,High,TRUE,Network Support
getting invalid username password error repeatedly need assistance,Access,Login Failure,High,FALSE,IAM Team
team wifi password prompt keeps appearing even entering correct password help,Network,WiFi Issue,Medium,FALSE,Network Support
internet connection timing frequently affecting work fix this.,Network,Internet Slow,Medium,TRUE,Network Support
account locked multiple failed login attempts update fix this.,Access,Account Unlock,Medium,TRUE,IAM Team
shared folder permissions seem to changed shift,Network,Network Drive,Low,FALSE,Network Support
team keyboard keys working properly keys stuck since yesterday thanks.,Hardware,Keyboard/Mouse,Low,FALSE,Hardware Support
team office wifi keeps disconnecting laptop every 10 minutes afternoon fix this.,Network,WiFi Issue,Medium,FALSE,Network Support
team display resolution cannot changed external monitor shift asap.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
issue account lease expired cloud system today assist.,Access,Account Expired,Critical,FALSE,IAM Team
laptop keeps freezing randomly normal work since last week thanks.,Hardware,Laptop Issue,Medium,TRUE,Hardware Support
mapped network drive showing disconnected update fix this.,Network,Network Drive,Low,FALSE,Network Support
issue 32-bit software working 64-bit system properly update thanks.,Software,Compatibility,Low,FALSE,Application Support
support team battery calibration seems incorrect shift assist.,Hardware,Battery Issue,Low,TRUE,Hardware Support
support team database showing corruption errors startup urgently needed fix this.,Software,Data Loss,Critical,FALSE,Application Support
need access to shared folder new project update thanks.,Access,Access Request,Low,FALSE,IAM Team
system crashing bsod multiple times today update thanks.,Hardware,Blue Screen,High,FALSE,Hardware Support
issue password reset link working showing expired error today assist.,Access,Password Reset,Medium,TRUE,IAM Team
temporary account access period lapsed try to work,Access,Account Expired,Medium,FALSE,IAM Team
support team corporate firewall preventing software update download need assistance asap.,Network,Firewall Block,High,FALSE,Network Support
issue getting invalid username password error repeatedly afternoon,Access,Login Failure,High,TRUE,IAM Team
help chrome browser crashing unexpectedly multiple times urgent.,Software,Application Crash,High,FALSE,Application Support
team biometric login recognizing fingerprint try to work thanks.,Access,Login Failure,High,FALSE,IAM Team
account lease expired cloud system try to work asap.,Access,Account Expired,Critical,FALSE,IAM Team
feature update breaking existing applications need assistance fix this.,Software,Update Problem,Medium,TRUE,Application Support
issue share permissions allowing write access need assistance,Access,Permission Issue,High,FALSE,IAM Team
files disappeared from shared folder sync since morning,Software,Data Loss,Critical,FALSE,Application Support
acl permissions need to updated access afternoon assist.,Access,Permission Issue,High,FALSE,IAM Team
support team fan running full speed constantly noisy reboot urgent.,Hardware,Overheating,Critical,FALSE,Hardware Support
issue data synchronization causing file conflicts try to work assist.,Software,Data Loss,Critical,FALSE,Application Support
help getting invalid otp error even correct code affecting work thanks.,Access,MFA Problem,Medium,TRUE,IAM Team
firewall exception rule working expected try to work,Network,Firewall Block,Low,TRUE,Network Support
cannot connect to corporate wireless network try to work thanks.,Network,WiFi Issue,Medium,FALSE,Network Support
registry settings need to modified app try to work asap.,Software,Configuration,Low,TRUE,Application Support
powerpoint closing unexpectedly presentation reboot asap.,Software,Application Crash,High,FALSE,Application Support
team laptop battery draining fast barely lasts hour affecting work need help quickly.,Hardware,Battery Issue,Low,FALSE,Hardware Support
print jobs getting stuck queue printing since last week assist.,Hardware,Printer Error,High,FALSE,Hardware Support
issue xml config file syntax error preventing startup reboot urgent.,Software,Configuration,Low,TRUE,Application Support
user account disabled due to inactivity period help need help quickly.,Access,Account Expired,Low,TRUE,IAM Team
issue xml config file syntax error preventing startup affecting work assist.,Software,Configuration,Low,FALSE,Application Support
help account validity period ended today help need help quickly.,Access,Account Expired,Critical,FALSE,IAM Team
multi-factor authentication keeps failing repeatedly urgently needed urgent.,Access,MFA Problem,Medium,TRUE,IAM Team
login session expiring immediately signing shift fix this.,Access,Login Failure,High,FALSE,IAM Team
help need to reset password expired today urgent.,Access,Password Reset,High,TRUE,IAM Team
position change affecting system authorizations urgently needed assist.,Access,Role Change,Low,FALSE,IAM Team
team insufficient privileges to install software machine afternoon thanks.,Access,Permission Issue,High,TRUE,IAM Team
need access to shared folder new project help assist.,Access,Access Request,Low,FALSE,IAM Team
cannot check updates getting connection error asap.,Software,Update Problem,Medium,FALSE,Application Support
support team requesting elevated privileges software installation reboot need help quickly.,Access,Access Request,Low,FALSE,IAM Team
document showing corrupted cannot recovered,Software,Data Loss,Critical,FALSE,Application Support
help laptop overheating automatically shutting update assist.,Hardware,Overheating,High,FALSE,Hardware Support
unsaved work lost due to unexpected application crash reboot fix this.,Software,Data Loss,Critical,FALSE,Application Support
user account showing locked active directory need assistance,Access,Account Unlock,Medium,TRUE,IAM Team
help getting proxy authentication required popup repeatedly shift thanks.,Network,Proxy Error,Low,TRUE,Network Support
monitor backlight flickering intermittently today thanks.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
usb keyboard recognized computer thanks.,Hardware,Keyboard/Mouse,Low,FALSE,Hardware Support
issue password expired cannot set new one update thanks.,Access,Account Expired,Low,TRUE,IAM Team
team windows crashed kernel_security_check_failure error try to work asap.,Hardware,Blue Screen,High,TRUE,Hardware Support
issue user account disabled due to inactivity period affecting work urgent.,Access,Account Expired,High,FALSE,IAM Team
team laptop overheating automatically shutting urgently needed assist.,Hardware,Overheating,High,TRUE,Hardware Support
need help configuring email client settings correctly reboot fix this.,Software,Configuration,Low,FALSE,Application Support
issue laptop keeps freezing randomly normal work since yesterday need help quickly.,Hardware,Laptop Issue,Low,FALSE,Hardware Support
connection unstable keeps dropping packets affecting work,Network,Internet Slow,Medium,TRUE,Network Support
help secondary dns server responding to queries today urgent.,Network,DNS Problem,Low,FALSE,Network Support
software deployment package corrupted download shift fix this.,Software,Software Install,Medium,FALSE,Application Support
ini configuration file incorrect parameters reboot need help quickly.,Software,Configuration,Low,FALSE,Application Support
team security patch installation getting stuck since morning asap.,Software,Update Problem,Medium,FALSE,Application Support
support team files disappeared from shared folder sync afternoon need help quickly.,Software,Data Loss,Critical,FALSE,Application Support
environment variables set correctly application reboot thanks.,Software,Configuration,Low,FALSE,Application Support
issue firewall exception rule working expected reboot assist.,Network,Firewall Block,High,FALSE,Network Support
password reset korte hobe,Access,Account Unlock,Medium,TRUE,IAM Team
issue mapped network drive showing disconnected try to work fix this.,Network,Network Drive,Low,FALSE,Network Support
issue cannot connect to vpn since morning keeps timing try to work,Network,VPN Connection,High,TRUE,Network Support
vpn working fine yesterday today connect reboot assist.,Network,VPN Connection,High,FALSE,Network Support
corporate firewall preventing software update download shift,Network,Firewall Block,Critical,FALSE,Network Support
getting limited connectivity error wifi since morning help,Network,WiFi Issue,Medium,FALSE,Network Support
single sign-on redirect loop preventing access shift fix this.,Access,Login Failure,High,FALSE,IAM Team
proxy auto-detection failing browser update asap.,Network,Proxy Error,Low,FALSE,Network Support
issue cannot connect to corporate wireless network update need help quickly.,Network,WiFi Issue,Medium,FALSE,Network Support
support team cannot access certain ports due to firewall restrictions since yesterday need help quickly.,Network,Firewall Block,Medium,FALSE,Network Support
issue file access rights seem to revoked shift asap.,Access,Permission Issue,High,FALSE,IAM Team
support team keyboard backlight turning reboot fix this.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
support team network drive showing file explorer afternoon,Network,Network Drive,Low,FALSE,Network Support
printer showing paper jam error paper visible since morning,Hardware,Printer Error,High,TRUE,Hardware Support
help cannot login to system even correct credentials need assistance,Access,Login Failure,High,TRUE,IAM Team
screen flickering issue work laptop urgently needed thanks.,Hardware,Laptop Issue,High,FALSE,Hardware Support
issue mapped network drive showing disconnected since morning fix this.,Network,Network Drive,Low,TRUE,Network Support
teamviewer connection failing timeout error help,Network,Remote Access,Critical,FALSE,Network Support
receiving otp registered mobile number need assistance urgent.,Access,MFA Problem,Medium,TRUE,IAM Team
irql_not_less_or_equal blue screen error need assistance asap.,Hardware,Blue Screen,High,FALSE,Hardware Support
password reset questions accepting answers urgently needed asap.,Access,Password Reset,Medium,TRUE,IAM Team
issue external monitor detected laptop reboot need help quickly.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
support team unable to establish secure connection to corporate vpn need help quickly.,Network,VPN Connection,High,TRUE,Network Support
team slow query performance database application affecting work fix this.,Software,Performance,Low,TRUE,Application Support
support team remote desktop shows black screen connection,Network,Remote Access,High,TRUE,Network Support
cannot establish remote session to server maintenance need assistance assist.,Network,Remote Access,Low,FALSE,Network Support
team network storage accessible from workstation reboot,Network,Network Drive,Low,FALSE,Network Support
hdmi monitor showing signal message fix this.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
print jobs getting stuck queue printing afternoon asap.,Hardware,Printer Error,High,TRUE,Hardware Support
issue lost access to mfa device cannot authenticate update need help quickly.,Access,MFA Problem,Medium,TRUE,IAM Team
password expired cannot set new one since last week assist.,Access,Account Expired,Critical,FALSE,IAM Team
support team internet speed slow today pages taking forever to load today need help quickly.,Network,Internet Slow,Medium,TRUE,Network Support
proxy auto-detection failing browser since morning need help quickly.,Network,Proxy Error,Low,FALSE,Network Support
mfa push notification reaching mobile app today,Access,MFA Problem,Medium,TRUE,IAM Team
corporate proxy blocking legitimate business websites since last week asap.,Network,Proxy Error,Low,TRUE,Network Support
registry settings need to modified app update fix this.,Software,Configuration,Low,TRUE,Application Support
powerpoint closing unexpectedly presentation shift,Software,Application Crash,High,FALSE,Application Support
getting nxdomain error valid websites afternoon asap.,Network,DNS Problem,Critical,FALSE,Network Support
support team latest patch causing compatibility issues software try to work urgent.,Software,Update Problem,Medium,FALSE,Application Support
help incompatible dll files causing application errors try to work urgent.,Software,Compatibility,Medium,TRUE,Application Support
proxy server refusing connections port 8080 update assist.,Network,Proxy Error,Low,TRUE,Network Support
screen flickering issue work laptop afternoon urgent.,Hardware,Laptop Issue,Critical,FALSE,Hardware Support
need permission to access confidential documents today need help quickly.,Access,Access Request,Low,TRUE,IAM Team
support team unable to save files to team network drive need assistance asap.,Network,Network Drive,Low,FALSE,Network Support
dns query timeouts causing browsing issues today asap.,Network,DNS Problem,Critical,FALSE,Network Support
system_service_exception causing windows to crash today,Hardware,Blue Screen,High,TRUE,Hardware Support
web pages loading extremely slowly browsers fix this.,Network,Internet Slow,Medium,TRUE,Network Support
issue proxy server refusing connections port 8080 reboot urgent.,Network,Proxy Error,Low,TRUE,Network Support
support team permission denied trying to save file to location affecting work asap.,Access,Permission Issue,High,FALSE,IAM Team
team external monitor detected laptop urgently needed,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
support team windows update keeps failing error 0x80070002 since morning asap.,Software,Update Problem,Medium,TRUE,Application Support
high disk usage application affecting system since last week asap.,Software,Performance,Medium,FALSE,Application Support
need access to shared folder new project shift need help quickly.,Access,Access Request,Low,TRUE,IAM Team
team cannot access external websites due to proxy configuration issue since morning assist.,Network,Proxy Error,Low,TRUE,Network Support
keyboard typing wrong characters keys since yesterday fix this.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
sms two-factor codes delivered since yesterday asap.,Access,MFA Problem,Medium,FALSE,IAM Team
help domain login failing trust relationship error update fix this.,Access,Login Failure,High,TRUE,IAM Team
accidental data deletion from shared drive help fix this.,Software,Data Loss,Critical,FALSE,Application Support
network latency extremely high cannot use video conferencing update asap.,Network,Internet Slow,Medium,FALSE,Network Support
second monitor keeps going black every minutes need help quickly.,Hardware,Monitor Problem,Medium,TRUE,Hardware Support
dual monitor setup stopped working update since yesterday asap.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
keyboard typing wrong characters keys afternoon need help quickly.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
internet keeps buffering important client calls try to work fix this.,Network,Internet Slow,Medium,FALSE,Network Support
receiving otp registered mobile number since yesterday urgent.,Access,MFA Problem,Medium,TRUE,IAM Team
support team application crashes stopped working error afternoon,Software,Application Crash,High,FALSE,Application Support
system thermal warning appearing frequently assist.,Hardware,Overheating,High,TRUE,Hardware Support
team keyboard keys working properly keys stuck since yesterday urgent.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
network throughput severely degraded today today thanks.,Network,Internet Slow,Medium,TRUE,Network Support
software update downloaded install properly try to work thanks.,Software,Update Problem,Medium,TRUE,Application Support
issue keyboard backlight turning affecting work fix this.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
cannot connect to corporate wireless network today fix this.,Network,WiFi Issue,Medium,FALSE,Network Support
getting error network path found trying to open shared folder reboot,Network,Network Drive,Low,TRUE,Network Support
laptop overheating automatically shutting since morning asap.,Hardware,Overheating,High,FALSE,Hardware Support
getting nxdomain error valid websites assist.,Network,DNS Problem,Critical,FALSE,Network Support
windows crashed kernel_security_check_failure error update thanks.,Hardware,Blue Screen,High,FALSE,Hardware Support
help system rebooting automatically blue screen error reboot fix this.,Hardware,Blue Screen,High,TRUE,Hardware Support
account locked multiple failed login attempts need assistance thanks.,Access,Account Unlock,Medium,TRUE,IAM Team
account locked message appearing login screen since morning thanks.,Access,Account Unlock,Medium,TRUE,IAM Team
need elevated permissions to complete task need assistance,Access,Permission Issue,High,FALSE,IAM Team
legacy application running updated os afternoon,Software,Compatibility,Medium,FALSE,Application Support
external display showing wrong aspect ratio urgently needed need help quickly.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
multi-factor authentication keeps failing repeatedly afternoon thanks.,Access,MFA Problem,Medium,TRUE,IAM Team
team need vpn access to work remotely from home urgently needed urgent.,Access,Access Request,Low,FALSE,IAM Team
support team domain login failing trust relationship error today,Access,Login Failure,High,TRUE,IAM Team
graphics card failure causing display artifacts since morning asap.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
laptop battery draining fast barely lasts hour try to work thanks.,Hardware,Battery Issue,Low,TRUE,Hardware Support
download speed dropped significantly since afternoon shift fix this.,Network,Internet Slow,Medium,TRUE,Network Support
team share permissions allowing write access since last week thanks.,Access,Permission Issue,High,TRUE,IAM Team
forgot password cannot login to account reboot thanks.,Access,Password Reset,High,TRUE,IAM Team
password reset questions accepting answers since morning thanks.,Access,Password Reset,Medium,TRUE,IAM Team
latest patch causing compatibility issues software affecting work thanks.,Software,Update Problem,Medium,FALSE,Application Support
help proxy settings application need to configured,Software,Configuration,Low,FALSE,Application Support
floating license available seats occupied shift,Software,License Issue,High,FALSE,Application Support
system_service_exception causing windows to crash urgently needed need help quickly.,Hardware,Blue Screen,High,TRUE,Hardware Support
internal sites accessible name afternoon thanks.,Network,DNS Problem,Critical,FALSE,Network Support
team display resolution cannot changed external monitor since morning asap.,Hardware,Monitor Problem,Medium,TRUE,Hardware Support
support team cannot login to system even correct credentials need assistance urgent.,Access,Login Failure,High,TRUE,IAM Team
system crashing bsod multiple times today try to work,Hardware,Blue Screen,High,FALSE,Hardware Support
help 32-bit software working 64-bit system properly,Software,Compatibility,High,FALSE,Application Support
internal sites accessible name since last week,Network,DNS Problem,Low,FALSE,Network Support
browser showing proxy server connection error update assist.,Network,Proxy Error,Low,TRUE,Network Support
mfa setup working cannot complete registration shift assist.,Access,MFA Problem,Medium,TRUE,IAM Team
team workstation laptop experiencing random restarts afternoon assist.,Hardware,Laptop Issue,Medium,FALSE,Hardware Support
support team previous role access needs to revoked since last week asap.,Access,Role Change,Low,FALSE,IAM Team
team remote access session keeps getting disconnected need assistance asap.,Network,Remote Access,Low,FALSE,Network Support
database showing corruption errors startup urgently needed asap.,Software,Data Loss,Critical,FALSE,Application Support
support team network latency extremely high cannot use video conferencing today need help quickly.,Network,Internet Slow,Medium,TRUE,Network Support
smart card authentication failing login since yesterday asap.,Access,Login Failure,High,TRUE,IAM Team
sso login working showing authentication error since morning need help quickly.,Access,Login Failure,High,FALSE,IAM Team
floating license available seats occupied need assistance thanks.,Software,License Issue,High,TRUE,Application Support
temporary assignment needs additional access affecting work fix this.,Access,Role Change,Low,FALSE,IAM Team
ini configuration file incorrect parameters update asap.,Software,Configuration,Low,FALSE,Application Support
help getting connection blocked firewall error message since last week fix this.,Network,Firewall Block,Low,FALSE,Network Support
getting nxdomain error valid websites since last week urgent.,Network,DNS Problem,High,FALSE,Network Support
issue getting account disabled error trying to login update need help quickly.,Access,Account Unlock,Medium,TRUE,IAM Team
share permissions allowing write access today urgent.,Access,Permission Issue,High,TRUE,IAM Team
team multifunction printer scanner working need assistance,Hardware,Printer Error,High,TRUE,Hardware Support
help mouse scroll wheel working anymore urgently needed fix this.,Hardware,Keyboard/Mouse,Low,TRUE,Hardware Support
help need access to production environment deployment since morning asap.,Access,Access Request,Low,FALSE,IAM Team
service account locked affecting application access afternoon,Access,Account Unlock,Medium,TRUE,IAM Team
need vpn access to work remotely from home since last week need help quickly.,Access,Access Request,Low,FALSE,IAM Team
support team ventilation ports blocked causing overheating assist.,Hardware,Overheating,Low,TRUE,Hardware Support
transferred to new team need access to resources afternoon urgent.,Access,Role Change,Low,FALSE,IAM Team
team cannot check updates getting connection error affecting work asap.,Software,Update Problem,Medium,FALSE,Application Support
application incompatible installed programs try to work fix this.,Software,Compatibility,High,FALSE,Application Support
application installation blocked windows defender firewall since yesterday thanks.,Network,Firewall Block,Critical,FALSE,Network Support
team software conflict causing applications to malfunction since morning assist.,Software,Compatibility,High,FALSE,Application Support
memory leak causing application to consume ram help,Software,Performance,Critical,FALSE,Application Support
team office wifi keeps disconnecting laptop every 10 minutes try to work,Network,WiFi Issue,Medium,FALSE,Network Support
issue network latency extremely high cannot use video conferencing reboot thanks.,Network,Internet Slow,Medium,TRUE,Network Support
team trial version expired license purchased thanks.,Software,License Issue,High,TRUE,Application Support
wifi password prompt keeps appearing even entering correct password help fix this.,Network,WiFi Issue,Medium,FALSE,Network Support
bandwidth seems throttled slow response times since morning thanks.,Network,Internet Slow,Medium,TRUE,Network Support
performance degraded significantly recent update since last week,Software,Performance,Critical,FALSE,Application Support
team portable computer keyboard functioning properly affecting work thanks.,Hardware,Laptop Issue,Critical,FALSE,Hardware Support
application preferences saving properly assist.,Software,Configuration,Low,TRUE,Application Support
support team laptop charging battery icon shows red since last week need help quickly.,Hardware,Battery Issue,Low,FALSE,Hardware Support
inkjet printer recognizing ink cartridges reboot,Hardware,Printer Error,High,TRUE,Hardware Support
unable to save files to team network drive afternoon asap.,Network,Network Drive,Low,TRUE,Network Support
issue shared drive keeps disconnecting randomly throughout day since morning assist.,Network,Network Drive,Low,FALSE,Network Support
help adobe license showing expired even though active shift need help quickly.,Software,License Issue,High,FALSE,Application Support
network drive access extremely slow files open reboot,Network,Network Drive,Low,TRUE,Network Support
monitor screen showing horizontal lines flickering today assist.,Hardware,Monitor Problem,Medium,FALSE,Hardware Support
inkjet printer recognizing ink cartridges since last week need help quickly.,Hardware,Printer Error,High,TRUE,Hardware Support
help cannot install new software package getting error 1603 asap.,Software,Software Install,Medium,FALSE,Application Support
support team account status showing expired system since morning thanks.,Access,Account Unlock,Medium,TRUE,IAM Team
team software conflict causing applications to malfunction urgently needed asap.,Software,Compatibility,Critical,FALSE,Application Support
support team proxy pac file loading correctly update,Network,Proxy Error,Low,FALSE,Network Support
support team inbound connection blocked host firewall try to work urgent.,Network,Firewall Block,Critical,FALSE,Network Support
issue graphics card failure causing display artifacts afternoon asap.,Hardware,Hardware Failure,Critical,FALSE,Hardware Support
team laptop booting stuck black screen help fix this.,Hardware,Laptop Issue,High,FALSE,Hardware Support
domain login failing trust relationship error since yesterday asap.,Access,Login Failure,High,FALSE,IAM Team
team file version history showing previous versions shift assist.,Software,Data Loss,Critical,FALSE,Application Support
help need role-based access updated systems need assistance urgent.,Access,Role Change,Low,TRUE,IAM Team
page_fault_in_nonpaged_area system crash since morning asap.,Hardware,Blue Screen,High,FALSE,Hardware Support
issue shared folder permissions seem to changed need assistance,Network,Network Drive,Low,TRUE,Network Support
floating license available seats occupied urgently needed fix this.,Software,License Issue,High,FALSE,Application Support
help account status showing expired system update,Access,Account Unlock,Medium,FALSE,IAM Team
mfa setup working cannot complete registration since morning,Access,MFA Problem,Medium,FALSE,IAM Team
